prefix	as_path	atomic_aggregate	aggregator	communities	timestamp	origin	collector	prepending	loops	ixps	gao_rexford	new_asns	path_poisoning	country	start_time	end_time	event_number	event_type	url	hijack_detected_as_path	hijack_detected_by_bgpmon_peers	hijack_detected_origin_name	hijack_detected_origin_number	hijack_expected_origin_name	hijack_expected_origin_number	hijack_expected_prefix	hijack_more_specific_prefix	leak_detected_by_bgpmon_peers	leak_example_as_path	leaked_prefix	leaked_to_name	leaked_to_number	leaker_as_name	leaker_as_number	leak_origin_as_name	leak_origin_as_number	outage_as_name	outage_as_number	outage_number_prefixes_affected	outage_percent_prefixes_affected	roa_validity	prefix_id	block_id	prefix_block_id	url_1	source
1.10.131.0/24	{22742,3257,58453,38040,23969}			3257:4000 3257:8133 3257:50001 3257:50110 3257:54901	1610341008	23969	22742	0	0	0	0	0	0																												1	384	0	384	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.10.132.0/22	{22742,6939,38040,23969}				1604610901	23969	22742	0	0	0	0	0	0																												1	385	0	385	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.10.132.0/24	{22742,6939,4651,23969}				1611113574	23969	22742	0	0	0	0	0	0																												1	386	0	386	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.10.133.0/24	{22742,6939,38040,23969}				1604610901	23969	22742	0	0	0	0	0	0																												1	387	0	387	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.10.134.0/24	{22742,6939,38040,23969}				1604610901	23969	22742	0	0	0	0	0	0																												1	388	0	388	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.10.136.0/21	{22742,6939,38040,23969}				1604610901	23969	22742	0	0	0	0	0	0																												1	389	0	389	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.10.136.0/24	{22742,6939,38040,23969}				1604610901	23969	22742	0	0	0	0	0	0																												1	390	0	390	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.10.137.0/24	{22742,6939,38040,23969}				1604610901	23969	22742	0	0	0	0	0	0																												1	391	0	391	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.10.138.0/24	{22742,6939,38040,23969}				1604610901	23969	22742	0	0	0	0	0	0																												1	392	0	392	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.10.139.0/24	{22742,6939,38040,23969}				1604610901	23969	22742	0	0	0	0	0	0																												1	393	0	393	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
