prefix	as_path	atomic_aggregate	aggregator	communities	timestamp	origin	collector	prepending	loops	ixps	gao_rexford	new_asns	path_poisoning	country	start_time	end_time	event_number	event_type	url	hijack_detected_as_path	hijack_detected_by_bgpmon_peers	hijack_detected_origin_name	hijack_detected_origin_number	hijack_expected_origin_name	hijack_expected_origin_number	hijack_expected_prefix	hijack_more_specific_prefix	leak_detected_by_bgpmon_peers	leak_example_as_path	leaked_prefix	leaked_to_name	leaked_to_number	leaker_as_name	leaker_as_number	leak_origin_as_name	leak_origin_as_number	outage_as_name	outage_as_number	outage_number_prefixes_affected	outage_percent_prefixes_affected	roa_validity	prefix_id	block_id	prefix_block_id	url_1	source
0.0.0.0/0	{22742,3257}				1610340818	3257	22742	0	0	0	0	0	0																												1	0	0	0	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.0.0.0/24	{22742,13335}		13335	13335:10106 13335:19000 13335:20050 13335:20500 13335:20530	1611186635	13335	22742	0	0	0	0	0	0																												0	1	0	1	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.0.4.0/22	{22742,6939,4826,38803}				1608040018	38803	22742	0	0	0	0	0	0																												0	2	0	2	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.0.4.0/24	{22742,6939,4826,38803}				1608040018	38803	22742	0	0	0	0	0	0																												0	3	0	3	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.0.5.0/24	{22742,6939,4826,38803}				1608040018	38803	22742	0	0	0	0	0	0																												0	4	0	4	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.0.6.0/24	{22742,6939,4826,38803}				1608040018	38803	22742	0	0	0	0	0	0																												0	5	0	5	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.0.7.0/24	{22742,6939,4826,38803}				1608040018	38803	22742	0	0	0	0	0	0																												0	6	0	6	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.0.16.0/24	{22742,3257,174,2519}			3257:8040 3257:30156 3257:50002 3257:51100 3257:51101	1610340791	2519	22742	0	0	0	0	0	0																												1	7	0	7	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.0.64.0/18	{22742,3257,2497,7670,18144}		18144	3257:8157 3257:30213 3257:50002 3257:51100 3257:51102	1610340834	18144	22742	0	0	0	0	0	0																												1	8	0	8	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.0.128.0/17	{22742,6939,38040,23969}				1604610901	23969	22742	0	0	0	0	0	0																												1	9	0	9	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.0.128.0/18	{22742,6939,38040,23969}				1604610901	23969	22742	0	0	0	0	0	0																												1	10	0	10	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.0.128.0/19	{22742,6939,38040,23969}				1604610901	23969	22742	0	0	0	0	0	0																												1	11	0	11	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.0.128.0/24	{22742,3257,9002,38040,23969}			3257:8791 3257:50001 3257:53100 3257:53101 NO_PEER	1611091709	23969	22742	0	0	0	0	0	0																												1	12	0	12	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.0.129.0/24	{22742,6939,4651,23969}				1607071179	23969	22742	0	0	0	0	0	0																												1	13	0	13	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.0.132.0/24	{22742,3257,9002,38040,23969}			3257:8791 3257:50001 3257:53100 3257:53101 NO_PEER	1610813767	23969	22742	0	0	0	0	0	0																												1	14	0	14	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.0.133.0/24	{22742,3257,9002,38040,23969}			3257:8791 3257:50001 3257:53100 3257:53101 NO_PEER	1610813767	23969	22742	0	0	0	0	0	0																												1	15	0	15	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.0.136.0/24	{22742,3257,9002,38040,23969}			3257:8791 3257:50001 3257:53100 3257:53101 NO_PEER	1610813767	23969	22742	0	0	0	0	0	0																												1	16	0	16	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.0.137.0/24	{22742,3257,9002,38040,23969}			3257:8791 3257:50001 3257:53100 3257:53101 NO_PEER	1611044512	23969	22742	0	0	0	0	0	0																												1	17	0	17	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
